rf,nb,knn
0.9361742786164725,0.7781919850885369,0.9878129117259552
0.9749665583795147,0.9496738117427773,0.9878129117259552
0.9749665583795147,0.9496738117427773,0.9878129117259552
0.9749665583795147,0.9844672258465363,1.0120223978919631
0.9749665583795147,0.9844672258465363,1.0120223978919631
1.3655646856487673,0.9844672258465363,1.0120223978919631
1.4429581502006499,0.9844672258465363,1.0120223978919631
1.4429581502006499,0.9844672258465363,1.071475625823452
1.4429581502006499,0.9844672258465363,1.071475625823452
1.4429581502006499,0.9844672258465363,1.071475625823452
